LECROYWR6050A,16172,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,11-Jun-2009 13:00:58,0                 
Time,Ampl
4.437591e-007,-0.142356
4.439591e-007,-0.142269
4.441591e-007,-0.1393
4.443591e-007,-0.136521
4.445591e-007,-0.13621
4.447591e-007,-0.137833
4.449591e-007,-0.13968
4.451591e-007,-0.140491
4.453591e-007,-0.13987
4.455591e-007,-0.138627
4.457591e-007,-0.137246
4.459591e-007,-0.135865
4.461591e-007,-0.136417
4.463591e-007,-0.139559
4.465591e-007,-0.141786
4.467591e-007,-0.140906
4.469591e-007,-0.139421
4.471591e-007,-0.139335
4.473591e-007,-0.139904
4.475591e-007,-0.140267
4.477591e-007,-0.140457
4.479591e-007,-0.140595
4.481591e-007,-0.140008
4.483591e-007,-0.138782
4.485591e-007,-0.138627
4.487591e-007,-0.139145
4.489591e-007,-0.137936
4.491591e-007,-0.135968
4.493591e-007,-0.135692
4.495591e-007,-0.136331
4.497591e-007,-0.13785
4.499591e-007,-0.142131
4.501591e-007,-0.147379
4.503591e-007,-0.150055
4.505591e-007,-0.149227
4.507591e-007,-0.145895
4.509591e-007,-0.142753
4.511591e-007,-0.142183
4.513591e-007,-0.142908
4.515591e-007,-0.143789
4.517591e-007,-0.14517
4.519591e-007,-0.144635
4.521591e-007,-0.140888
4.523591e-007,-0.138506
4.525591e-007,-0.140854
4.527591e-007,-0.144721
4.529591e-007,-0.146275
4.531591e-007,-0.14605
4.533591e-007,-0.145947
4.535591e-007,-0.145049
4.537591e-007,-0.141821
4.539591e-007,-0.13911
4.541591e-007,-0.139991
4.543591e-007,-0.141251
4.545591e-007,-0.140181
4.547591e-007,-0.139956
4.549591e-007,-0.141475
4.551591e-007,-0.141095
4.553591e-007,-0.138765
4.555591e-007,-0.137539
4.557591e-007,-0.137315
4.559591e-007,-0.136072
4.561591e-007,-0.133379
4.563591e-007,-0.130755
4.565591e-007,-0.13034
4.567591e-007,-0.132895
4.569591e-007,-0.137004
4.571591e-007,-0.139714
4.573591e-007,-0.138385
4.575591e-007,-0.134397
4.577591e-007,-0.131652
4.579591e-007,-0.129753
4.581591e-007,-0.126611
4.583591e-007,-0.124833
4.585591e-007,-0.126335
4.587591e-007,-0.127992
4.589591e-007,-0.127837
4.591591e-007,-0.12706
4.593591e-007,-0.126214
4.595591e-007,-0.124712
4.597591e-007,-0.122554
4.599591e-007,-0.121329
4.601591e-007,-0.122882
4.603591e-007,-0.125973
4.605591e-007,-0.127319
4.607591e-007,-0.125127
4.609591e-007,-0.119758
4.611591e-007,-0.115045
4.613591e-007,-0.115891
4.615591e-007,-0.121035
4.617591e-007,-0.124626
